item_id,conversation,question,option_1,option_2,answer,confidence,old_ok,best_pick,notes
replytone_clinical_r2_T2_implicit_t4_p60_v0,"--- Conversation 1 ---
Tomas: For my tone of replies, what works for me is warm.
Assistant: Got it, noted.

--- Conversation 2 ---
Tomas: This goes into medical documentation where encouragement would be read as a promise.
Assistant: Understood.

--- Conversation 3 ---
Tomas: My laptop fan has started making a grinding noise.
Assistant: Happy to help with that.

--- Conversation 4 ---
Tomas: How long can cooked rice stay in the fridge?
Assistant: Happy to help with that.",Tomas asks you for a suggestion about their tone of replies. Which should you suggest?,warm,neutral,,,,,
learning_deadline_r0_T0_no_evidence_t4_p60_v0,"--- Conversation 1 ---
Omar: For my way of learning, what works for me is practice.
Assistant: Got it, noted.

--- Conversation 2 ---
Omar: I need advice on repairing a torn lampshade.
Assistant: Happy to help with that.

--- Conversation 3 ---
Omar: How do I check whether a tree in the garden has a preservation order?
Assistant: Happy to help with that.

--- Conversation 4 ---
Omar: The pipes make a knocking sound when I turn the hot tap off.
Assistant: Happy to help with that.",Omar asks you for a suggestion about their way of learning. Which should you suggest?,videos,practice,,,,,
mealprep_burn_r2_T2_implicit_t4_p60_v0_finc,"--- Conversation 1 ---
Dmitri: Lately I have mostly been going with homecook for my way of preparing meals.
Assistant: Got it, noted.

--- Conversation 2 ---
Dmitri: After the fire I cannot bring myself to use the stove.
Assistant: Understood.

--- Conversation 3 ---
Dmitri: I'm trying to decide whether to repaint the hallway.
Assistant: Happy to help with that.

--- Conversation 4 ---
Dmitri: What is a fair price for someone to service a gas boiler?
Assistant: Happy to help with that.",Dmitri asks you for a suggestion about their way of preparing meals. Which should you suggest?,homecook,takeaway,,,,,
shopping_winter_r0_T4_conflict_t4_p60_v0_finc,"--- Conversation 1 ---
Dmitri: Lately I have mostly been going with online for my way of buying household goods.
Assistant: Got it, noted.

--- Conversation 2 ---
Dmitri: The open-air pitches shut from November and only the covered places stay open.
Assistant: Understood.

--- Conversation 3 ---
Dmitri: The recycling bin was not collected and nobody left a note.
Assistant: Happy to help with that.

--- Conversation 4 ---
Dmitri: What is the difference between a will and a living trust?
Assistant: Happy to help with that.",Dmitri asks you for a suggestion about their way of buying household goods. Which should you suggest?,stores,online,,,,,
learning_manual_r2_T2_implicit_t4_p60_v0,"--- Conversation 1 ---
Nadia: For my way of learning, what works for me is books.
Assistant: Got it, noted.

--- Conversation 2 ---
Nadia: They sign you off on performance now, not on what you can describe.
Assistant: Understood.

--- Conversation 3 ---
Nadia: How long can cooked rice stay in the fridge?
Assistant: Happy to help with that.

--- Conversation 4 ---
Nadia: How long does it take to get a replacement birth certificate?
Assistant: Happy to help with that.",Nadia asks you for a suggestion about their way of learning. Which should you suggest?,books,practice,,,,,
travel_conference_r1_T0_no_evidence_t4_p60_v0_finc,"--- Conversation 1 ---
Hugo: Lately I have mostly been going with nature for my kind of trip.
Assistant: Got it, noted.

--- Conversation 2 ---
Hugo: I need to cancel a gym membership and cannot find the terms.
Assistant: Happy to help with that.

--- Conversation 3 ---
Hugo: What paperwork do I need to keep after a car is sold?
Assistant: Happy to help with that.

--- Conversation 4 ---
Hugo: How do I check whether a tree in the garden has a preservation order?
Assistant: Happy to help with that.",Hugo asks you for a suggestion about their kind of trip. Which should you suggest?,cities,nature,,,,,
replyformat_argument_r1_T2_implicit_t4_p60_v0_finc,"--- Conversation 1 ---
Clara: Lately I have mostly been going with bullets for my format of replies.
Assistant: Got it, noted.

--- Conversation 2 ---
Clara: I have to present to a panel that will not accept a claim unless the reasoning connecting it is visible.
Assistant: Understood.

--- Conversation 3 ---
Clara: What is the safest way to keep paint that has been opened?
Assistant: Happy to help with that.

--- Conversation 4 ---
Clara: I need to find someone to fix a cracked paving slab out front.
Assistant: Happy to help with that.",Clara asks you for a suggestion about their format of replies. Which should you suggest?,bullets,prose,,,,,
learning_visual_r0_T4_conflict_t4_p60_v0_finc,"--- Conversation 1 ---
Iris: Lately I have mostly been going with practice for my way of learning.
Assistant: Got it, noted.

--- Conversation 2 ---
Iris: I could not work out from the text how the tools are meant to be positioned relative to each other.
Assistant: Understood.

--- Conversation 3 ---
Iris: The front door sticks badly whenever it rains.
Assistant: Happy to help with that.

--- Conversation 4 ---
Iris: I need to book a flight next month, no idea when is cheapest.
Assistant: Happy to help with that.",Iris asks you for a suggestion about their way of learning. Which should you suggest?,practice,videos,,,,,
communication_contract_r1_T0_no_evidence_t4_p60_v0,"--- Conversation 1 ---
Clara: For my way of communicating, what works for me is texting.
Assistant: Got it, noted.

--- Conversation 2 ---
Clara: I need to write a reference letter for a former colleague.
Assistant: Happy to help with that.

--- Conversation 3 ---
Clara: How long can cooked rice stay in the fridge?
Assistant: Happy to help with that.

--- Conversation 4 ---
Clara: What is the best way to get rid of an old mattress?
Assistant: Happy to help with that.",Clara asks you for a suggestion about their way of communicating. Which should you suggest?,email,texting,,,,,
transport_duty_r0_T4_conflict_t4_p60_v0,"--- Conversation 1 ---
Aisha: For my way of getting around, what works for me is cycling.
Assistant: Got it, noted.

--- Conversation 2 ---
Aisha: The new role has me at four sites a day carrying equipment, none of them near a station.
Assistant: Understood.

--- Conversation 3 ---
Aisha: My tomato plants have yellow leaves at the bottom.
Assistant: Happy to help with that.

--- Conversation 4 ---
Aisha: How long does it take to get a replacement birth certificate?
Assistant: Happy to help with that.",Aisha asks you for a suggestion about their way of getting around. Which should you suggest?,driving,cycling,,,,,
